cohort_month,month_number,active_customers,total_revenue,avg_revenue_per_active_customer,avg_orders_per_active_customer,cumulative_ltv,cohort_size,cumulative_ltv_per_user
2020-01,69,4,608.18,152.04,1,154005.79,315,488.91
2020-01,70,15,1309.63,87.31,1,155315.42,315,493.06
2020-01,71,11,1542.27,140.21,1,156857.69,315,497.96
2020-01,72,13,1917.75,147.52,1,158775.44,315,504.05
2020-01,73,15,2857.72,190.51,1,161633.16,315,513.12
2020-01,74,11,1247.92,113.45,1,162881.08,315,517.08
2020-02,0,301,38577.82,128.17,1.01,38577.82,301,128.17
2020-02,1,18,1540.82,85.6,1,40118.64,301,133.28
2020-02,2,7,1388.02,198.29,1,41506.66,301,137.9
2020-02,3,12,1098,91.5,1,42604.66,301,141.54
2020-02,4,10,1284.42,128.44,1,43889.08,301,145.81
2020-02,5,12,803.19,66.93,1,44692.27,301,148.48
2020-02,6,16,1806.72,112.92,1.06,46498.99,301,154.48
2020-02,7,15,1943.91,129.59,1,48442.9,301,160.94
2020-02,8,12,1711.18,142.6,1,50154.08,301,166.62
2020-02,9,16,1445.75,90.36,1,51599.83,301,171.43
2020-02,10,17,3022.92,177.82,1,54622.75,301,181.47
2020-02,11,10,1104.38,110.44,1,55727.13,301,185.14
2020-02,12,10,822.6,82.26,1.1,56549.73,301,187.87
2020-02,13,10,1446.49,144.65,1,57996.22,301,192.68
2020-02,14,9,1316.73,146.3,1,59312.95,301,197.05
2020-02,15,11,1144.86,104.08,1.09,60457.81,301,200.86
2020-02,16,11,1519.75,138.16,1,61977.56,301,205.91
2020-02,17,10,888.19,88.82,1,62865.75,301,208.86
2020-02,18,13,1406.85,108.22,1,64272.6,301,213.53
2020-02,19,16,2677.64,167.35,1.06,66950.24,301,222.43
2020-02,20,9,856.21,95.13,1,67806.45,301,225.27
2020-02,21,8,952.67,119.08,1.13,68759.12,301,228.44
2020-02,22,10,1189.75,118.97,1.1,69948.87,301,232.39
2020-02,23,16,2510.25,156.89,1,72459.12,301,240.73
2020-02,24,13,1156.79,88.98,1,73615.91,301,244.57
2020-02,25,17,2318.11,136.36,1,75934.02,301,252.27
2020-02,26,7,845.92,120.85,1,76779.94,301,255.08
2020-02,27,7,1739.47,248.5,1,78519.41,301,260.86
2020-02,28,6,1410.87,235.14,1,79930.28,301,265.55
2020-02,29,13,1222.9,94.07,1,81153.18,301,269.61
2020-02,30,17,2748.17,161.66,1,83901.35,301,278.74
2020-02,31,9,1057.15,117.46,1.11,84958.5,301,282.25
2020-02,32,23,2648.73,115.16,1,87607.23,301,291.05
2020-02,33,16,2211.55,138.22,1,89818.78,301,298.4
2020-02,34,8,1115.49,139.44,1,90934.27,301,302.11
2020-02,35,17,3051.89,179.52,1.12,93986.16,301,312.25
2020-02,36,11,1319.4,119.95,1,95305.56,301,316.63
2020-02,37,10,1253.53,125.35,1,96559.09,301,320.79
2020-02,38,17,2380.82,140.05,1.06,98939.91,301,328.7
2020-02,39,19,3240.57,170.56,1.05,102180.48,301,339.47
2020-02,40,8,2315.7,289.46,1,104496.18,301,347.16
2020-02,41,12,1456.79,121.4,1.08,105952.97,301,352
2020-02,42,11,1134.49,103.14,1,107087.46,301,355.77
2020-02,43,13,2541.27,195.48,1,109628.73,301,364.22
2020-02,44,12,1754.14,146.18,1,111382.87,301,370.04
2020-02,45,14,2266.89,161.92,1.07,113649.76,301,377.57
2020-02,46,11,1723.21,156.66,1,115372.97,301,383.3
2020-02,47,9,1243,138.11,1.22,116615.97,301,387.43
2020-02,48,9,510.46,56.72,1,117126.43,301,389.12
2020-02,49,16,3461.19,216.32,1,120587.62,301,400.62
2020-02,50,12,925.51,77.13,1,121513.13,301,403.7
2020-02,51,13,1892.84,145.6,1,123405.97,301,409.99
2020-02,52,18,2545.48,141.42,1,125951.45,301,418.44
2020-02,53,10,1168.53,116.85,1,127119.98,301,422.33
2020-02,54,14,1802.25,128.73,1,128922.23,301,428.31
2020-02,55,17,1838.35,108.14,1,130760.58,301,434.42
2020-02,56,11,1121.91,101.99,1,131882.49,301,438.15
2020-02,57,17,2209.15,129.95,1.06,134091.64,301,445.49
2020-02,58,17,1631.91,95.99,1,135723.55,301,450.91
2020-02,59,9,730.65,81.18,1,136454.2,301,453.34
2020-02,60,8,1274.06,159.26,1,137728.26,301,457.57
2020-02,61,8,454.06,56.76,1,138182.32,301,459.08
2020-02,62,12,957.26,79.77,1,139139.58,301,462.26
2020-02,63,11,1424.06,129.46,1,140563.64,301,466.99
2020-02,64,12,1522.69,126.89,1,142086.33,301,472.05
2020-02,65,14,1582.28,113.02,1,143668.61,301,477.3
2020-02,66,20,2750.17,137.51,1,146418.78,301,486.44
2020-02,67,7,299.33,42.76,1,146718.11,301,487.44
2020-02,68,10,1075.93,107.59,1,147794.04,301,491.01
2020-02,69,11,1068.63,97.15,1,148862.67,301,494.56
2020-02,70,15,2069.74,137.98,1,150932.41,301,501.44
2020-02,71,10,1201.74,120.17,1.1,152134.15,301,505.43
2020-02,72,7,649.99,92.86,1,152784.14,301,507.59
2020-02,73,9,1365.06,151.67,1,154149.2,301,512.12
2020-03,0,276,37580.74,136.16,1.02,37580.74,276,136.16
2020-03,1,7,960.51,137.22,1,38541.25,276,139.64
2020-03,2,21,3055.66,145.51,1.05,41596.91,276,150.71
2020-03,3,8,1358.15,169.77,1,42955.06,276,155.63
2020-03,4,12,1504.6,125.38,1,44459.66,276,161.09
2020-03,5,20,1981.72,99.09,1.1,46441.38,276,168.27
2020-03,6,5,591.65,118.33,1,47033.03,276,170.41
2020-03,7,14,1612.33,115.17,1,48645.36,276,176.25
2020-03,8,9,850.04,94.45,1,49495.4,276,179.33
2020-03,9,10,2043.92,204.39,1.1,51539.32,276,186.74
2020-03,10,12,1280.39,106.7,1,52819.71,276,191.38
2020-03,11,7,937.57,133.94,1.14,53757.28,276,194.77
2020-03,12,19,2406.34,126.65,1,56163.62,276,203.49
2020-03,13,11,1520.76,138.25,1,57684.38,276,209
2020-03,14,8,488.03,61,1,58172.41,276,210.77
2020-03,15,11,2122.2,192.93,1,60294.61,276,218.46
2020-03,16,16,1270.88,79.43,1,61565.49,276,223.06
2020-03,17,9,896.11,99.57,1,62461.6,276,226.31
2020-03,18,11,1823.72,165.79,1.09,64285.32,276,232.92
2020-03,19,11,1126.13,102.38,1,65411.45,276,237
2020-03,20,10,908.27,90.83,1,66319.72,276,240.29
2020-03,21,8,1174.37,146.8,1,67494.09,276,244.54
2020-03,22,11,1068.46,97.13,1,68562.55,276,248.42
2020-03,23,12,2080.33,173.36,1.08,70642.88,276,255.95
2020-03,24,13,1234.72,94.98,1,71877.6,276,260.43
2020-03,25,12,1658.18,138.18,1,73535.78,276,266.43
2020-03,26,11,2146.63,195.15,1.09,75682.41,276,274.21
2020-03,27,12,2391.98,199.33,1.08,78074.39,276,282.88
2020-03,28,8,733.92,91.74,1,78808.31,276,285.54
2020-03,29,12,1656.05,138,1,80464.36,276,291.54
2020-03,30,11,1836.94,166.99,1.09,82301.3,276,298.19
2020-03,31,14,1568.96,112.07,1,83870.26,276,303.88
2020-03,32,13,1741.72,133.98,1,85611.98,276,310.19
2020-03,33,15,1803.12,120.21,1,87415.1,276,316.72
2020-03,34,10,2593.58,259.36,1,90008.68,276,326.12
2020-03,35,12,1002.79,83.57,1.08,91011.47,276,329.75
2020-03,36,12,2122.08,176.84,1,93133.55,276,337.44
2020-03,37,9,1042.26,115.81,1,94175.81,276,341.22
2020-03,38,9,998.59,110.95,1,95174.4,276,344.83
2020-03,39,9,1359.41,151.05,1,96533.81,276,349.76
2020-03,40,10,2508.27,250.83,1,99042.08,276,358.85
2020-03,41,16,2710.55,169.41,1,101752.63,276,368.67
2020-03,42,8,820.1,102.51,1,102572.73,276,371.64
2020-03,43,20,3105.66,155.28,1,105678.39,276,382.89
2020-03,44,13,1953.83,150.29,1.08,107632.22,276,389.97
2020-03,45,13,1160.97,89.31,1,108793.19,276,394.18
2020-03,46,11,1395.04,126.82,1.09,110188.23,276,399.23
2020-03,47,14,1024.09,73.15,1,111212.32,276,402.94
2020-03,48,10,1813.06,181.31,1,113025.38,276,409.51
2020-03,49,17,1655.07,97.36,1,114680.45,276,415.51
2020-03,50,8,631.51,78.94,1,115311.96,276,417.8
2020-03,51,11,1104.45,100.4,1,116416.41,276,421.8
2020-03,52,8,723.17,90.4,1,117139.58,276,424.42
2020-03,53,11,1586.35,144.21,1,118725.93,276,430.17
2020-03,54,11,1418.03,128.91,1,120143.96,276,435.3
2020-03,55,8,741.07,92.63,1,120885.03,276,437.99
2020-03,56,9,1013.28,112.59,1,121898.31,276,441.66
2020-03,57,6,590.59,98.43,1.17,122488.9,276,443.8
2020-03,58,13,1708.1,131.39,1,124197,276,449.99
2020-03,59,12,1591.9,132.66,1,125788.9,276,455.76
2020-03,60,13,2955.18,227.32,1,128744.08,276,466.46
2020-03,61,15,1474.06,98.27,1,130218.14,276,471.8
2020-03,62,15,1743.59,116.24,1.07,131961.73,276,478.12
2020-03,63,16,1981.07,123.82,1.06,133942.8,276,485.3
2020-03,64,12,1325.66,110.47,1,135268.46,276,490.1
2020-03,65,11,1348.2,122.56,1,136616.66,276,494.99
2020-03,66,13,2013.32,154.87,1,138629.98,276,502.28
2020-03,67,11,2148.47,195.32,1,140778.45,276,510.07
2020-03,68,12,2375.52,197.96,1,143153.97,276,518.67
2020-03,69,19,2382.97,125.42,1,145536.94,276,527.31
2020-03,70,17,1547.91,91.05,1,147084.85,276,532.92
2020-03,71,12,2052.94,171.08,1,149137.79,276,540.35
2020-03,72,16,1813.9,113.37,1,150951.69,276,546.93
2020-04,0,304,39795.52,130.91,1.02,39795.52,304,130.91
2020-04,1,19,2014.27,106.01,1,41809.79,304,137.53
2020-04,2,16,2576.91,161.06,1,44386.7,304,146.01
2020-04,3,10,1242.5,124.25,1,45629.2,304,150.1
2020-04,4,18,1961.82,108.99,1,47591.02,304,156.55
2020-04,5,8,1072.57,134.07,1,48663.59,304,160.08
2020-04,6,14,1235.15,88.23,1.14,49898.74,304,164.14
2020-04,7,13,1551.88,119.38,1,51450.62,304,169.25
2020-04,8,20,2137.62,106.88,1.05,53588.24,304,176.28
2020-04,9,15,1542.16,102.81,1,55130.4,304,181.35
2020-04,10,7,302.91,43.27,1,55433.31,304,182.35
2020-04,11,14,2365.86,168.99,1.07,57799.17,304,190.13
2020-04,12,13,1612.43,124.03,1,59411.6,304,195.43
2020-04,13,9,1122.49,124.72,1.11,60534.09,304,199.13
2020-04,14,14,1384.49,98.89,1,61918.58,304,203.68
2020-04,15,13,2235.08,171.93,1,64153.66,304,211.03
2020-04,16,25,1980.75,79.23,1.04,66134.41,304,217.55
2020-04,17,6,714.76,119.13,1,66849.17,304,219.9
2020-04,18,9,529.61,58.85,1,67378.78,304,221.64
2020-04,19,16,1352.33,84.52,1,68731.11,304,226.09
2020-04,20,16,1862.09,116.38,1.06,70593.2,304,232.21
2020-04,21,13,2119.65,163.05,1.08,72712.85,304,239.19
2020-04,22,8,1000.86,125.11,1,73713.71,304,242.48
2020-04,23,12,2208.99,184.08,1.08,75922.7,304,249.75
2020-04,24,15,1388.66,92.58,1.07,77311.36,304,254.31
2020-04,25,17,1680.56,98.86,1.06,78991.92,304,259.84
2020-04,26,10,3550.14,355.01,1,82542.06,304,271.52
2020-04,27,17,1785.36,105.02,1,84327.42,304,277.39
2020-04,28,10,718.21,71.82,1,85045.63,304,279.76
2020-04,29,11,1138.94,103.54,1,86184.57,304,283.5
2020-04,30,11,1667.83,151.62,1,87852.4,304,288.99
2020-04,31,11,1331.02,121,1.09,89183.42,304,293.37
2020-04,32,11,1358.32,123.48,1,90541.74,304,297.83
2020-04,33,16,1450.31,90.64,1,91992.05,304,302.61
2020-04,34,16,2215.73,138.48,1,94207.78,304,309.89
2020-04,35,9,1346.91,149.66,1,95554.69,304,314.32
2020-04,36,7,597.46,85.35,1,96152.15,304,316.29
2020-04,37,12,1826.79,152.23,1.25,97978.94,304,322.3
2020-04,38,11,1241.48,112.86,1,99220.42,304,326.38
2020-04,39,10,1583.3,158.33,1.1,100803.72,304,331.59
2020-04,40,13,1999.45,153.8,1.08,102803.17,304,338.17
2020-04,41,12,1448.08,120.67,1,104251.25,304,342.93
2020-04,42,13,2058.22,158.32,1,106309.47,304,349.7
2020-04,43,11,805.26,73.21,1,107114.73,304,352.35
2020-04,44,9,691.35,76.82,1,107806.08,304,354.63
2020-04,45,11,1399,127.18,1,109205.08,304,359.23
2020-04,46,9,1500.61,166.73,1,110705.69,304,364.16
2020-04,47,9,1029.31,114.37,1,111735,304,367.55
2020-04,48,10,768.27,76.83,1,112503.27,304,370.08
2020-04,49,11,1024.89,93.17,1,113528.16,304,373.45
2020-04,50,9,1265.3,140.59,1.11,114793.46,304,377.61
2020-04,51,11,1544.95,140.45,1.09,116338.41,304,382.69
2020-04,52,17,1155.19,67.95,1,117493.6,304,386.49
2020-04,53,20,1762.74,88.14,1,119256.34,304,392.29
2020-04,54,17,2343.54,137.86,1.06,121599.88,304,400
2020-04,55,16,2377.05,148.57,1,123976.93,304,407.82
2020-04,56,20,2139.32,106.97,1,126116.25,304,414.86
2020-04,57,6,803.51,133.92,1,126919.76,304,417.5
2020-04,58,10,774.8,77.48,1,127694.56,304,420.05
2020-04,59,10,2178,217.8,1,129872.56,304,427.21
2020-04,60,18,1971.18,109.51,1,131843.74,304,433.7
2020-04,61,10,3279.55,327.95,1,135123.29,304,444.48
2020-04,62,14,1875.83,133.99,1,136999.12,304,450.65
2020-04,63,9,2154.94,239.44,1,139154.06,304,457.74
2020-04,64,9,1896.96,210.77,1,141051.02,304,463.98
2020-04,65,6,656.13,109.36,1,141707.15,304,466.14
2020-04,66,11,1777.68,161.61,1.09,143484.83,304,471.99
2020-04,67,8,718,89.75,1,144202.83,304,474.35
2020-04,68,9,1346.2,149.58,1,145549.03,304,478.78
2020-04,69,11,1018.26,92.57,1,146567.29,304,482.13
2020-04,70,8,1115.68,139.46,1,147682.97,304,485.8
2020-04,71,11,1540.16,140.01,1,149223.13,304,490.87
2020-05,0,289,39544.9,136.83,1.02,39544.9,289,136.83
2020-05,1,13,1265.54,97.35,1,40810.44,289,141.21
2020-05,2,12,1539.48,128.29,1,42349.92,289,146.54
2020-05,3,15,2417.87,161.19,1,44767.79,289,154.91
2020-05,4,11,1246.09,113.28,1,46013.88,289,159.22
2020-05,5,15,2934.91,195.66,1.13,48948.79,289,169.37
2020-05,6,10,1132.02,113.2,1.1,50080.81,289,173.29
2020-05,7,15,2152.1,143.47,1,52232.91,289,180.74
2020-05,8,17,3090.09,181.77,1,55323,289,191.43
2020-05,9,6,342.57,57.09,1,55665.57,289,192.61
2020-05,10,12,1816.86,151.41,1,57482.43,289,198.9
2020-05,11,5,477.36,95.47,1,57959.79,289,200.55
2020-05,12,6,431.88,71.98,1,58391.67,289,202.05
2020-05,13,10,1083.56,108.36,1,59475.23,289,205.8
2020-05,14,10,1424.22,142.42,1.1,60899.45,289,210.72
2020-05,15,10,1257.79,125.78,1,62157.24,289,215.08
2020-05,16,12,1323.27,110.27,1,63480.51,289,219.66
2020-05,17,14,1446.62,103.33,1,64927.13,289,224.66
2020-05,18,12,919.61,76.63,1,65846.74,289,227.84
2020-05,19,8,647.32,80.91,1,66494.06,289,230.08
2020-05,20,11,2212.81,201.16,1,68706.87,289,237.74
2020-05,21,13,2226.11,171.24,1,70932.98,289,245.44
2020-05,22,13,2282.07,175.54,1,73215.05,289,253.34
2020-05,23,6,557.18,92.86,1,73772.23,289,255.27
2020-05,24,12,1623.31,135.28,1,75395.54,289,260.88
2020-05,25,13,1539.3,118.41,1,76934.84,289,266.21
2020-05,26,14,1429.37,102.1,1,78364.21,289,271.16
2020-05,27,10,1077.64,107.76,1,79441.85,289,274.89
2020-05,28,10,1308.12,130.81,1,80749.97,289,279.41
2020-05,29,9,1726.37,191.82,1,82476.34,289,285.39
2020-05,30,10,1381.66,138.17,1,83858,289,290.17
2020-05,31,11,1279.89,116.35,1,85137.89,289,294.59
2020-05,32,4,444.81,111.2,1,85582.7,289,296.13
2020-05,33,8,523.8,65.47,1,86106.5,289,297.95
2020-05,34,11,537.95,48.9,1,86644.45,289,299.81
2020-05,35,16,2633.37,164.59,1,89277.82,289,308.92
2020-05,36,17,2966.89,174.52,1,92244.71,289,319.19
2020-05,37,12,1185.7,98.81,1,93430.41,289,323.29
2020-05,38,13,2436.26,187.4,1,95866.67,289,331.72
2020-05,39,8,479.11,59.89,1,96345.78,289,333.38
2020-05,40,10,1778.77,177.88,1,98124.55,289,339.53
2020-05,41,12,1958.02,163.17,1.08,100082.57,289,346.31
2020-05,42,10,1669.29,166.93,1.1,101751.86,289,352.08
2020-05,43,11,861.76,78.34,1,102613.62,289,355.06
2020-05,44,11,950.99,86.45,1,103564.61,289,358.36
2020-05,45,12,1272.3,106.02,1.08,104836.91,289,362.76
2020-05,46,11,821.9,74.72,1,105658.81,289,365.6
2020-05,47,13,1470.03,113.08,1,107128.84,289,370.69
2020-05,48,14,2891.05,206.5,1,110019.89,289,380.69
2020-05,49,8,953.04,119.13,1,110972.93,289,383.99
2020-05,50,17,2749.74,161.75,1,113722.67,289,393.5
2020-05,51,12,1656.46,138.04,1,115379.13,289,399.24
2020-05,52,14,2103.27,150.23,1,117482.4,289,406.51
2020-05,53,17,1774.36,104.37,1,119256.76,289,412.65
2020-05,54,7,599.35,85.62,1,119856.11,289,414.73
2020-05,55,10,1931.36,193.14,1,121787.47,289,421.41
2020-05,56,14,2471.93,176.57,1.07,124259.4,289,429.96
2020-05,57,11,1275.02,115.91,1,125534.42,289,434.38
2020-05,58,6,817.42,136.24,1,126351.84,289,437.2
2020-05,59,9,721.38,80.15,1,127073.22,289,439.7
2020-05,60,10,1910.62,191.06,1,128983.84,289,446.31
2020-05,61,14,1851.99,132.28,1,130835.83,289,452.72
2020-05,62,6,1574.63,262.44,1,132410.46,289,458.17
2020-05,63,15,929.16,61.94,1,133339.62,289,461.38
2020-05,64,17,1814.9,106.76,1,135154.52,289,467.66
2020-05,65,8,822.11,102.76,1,135976.63,289,470.51
2020-05,66,18,2566.31,142.57,1,138542.94,289,479.39
2020-05,67,14,2004.16,143.15,1,140547.1,289,486.32
2020-05,68,18,2095.82,116.43,1.11,142642.92,289,493.57
2020-05,69,13,892.12,68.62,1,143535.04,289,496.66
2020-05,70,8,503.06,62.88,1,144038.1,289,498.4
2020-06,0,253,31700.36,125.3,1.02,31700.36,253,125.3
2020-06,1,11,1234.79,112.25,1,32935.15,253,130.18
2020-06,2,9,2352.79,261.42,1,35287.94,253,139.48
2020-06,3,15,1605.69,107.05,1,36893.63,253,145.82
2020-06,4,12,1622.53,135.21,1,38516.16,253,152.24
2020-06,5,10,1967.37,196.74,1.1,40483.53,253,160.01
2020-06,6,11,1066.22,96.93,1.09,41549.75,253,164.23
2020-06,7,10,618.4,61.84,1,42168.15,253,166.67
2020-06,8,12,1136.22,94.69,1.08,43304.37,253,171.16
2020-06,9,14,1497.97,107,1,44802.34,253,177.08
2020-06,10,14,1618.46,115.6,1,46420.8,253,183.48
2020-06,11,9,936.27,104.03,1.11,47357.07,253,187.18
2020-06,12,12,1252.79,104.4,1,48609.86,253,192.13
2020-06,13,11,834.81,75.89,1,49444.67,253,195.43
2020-06,14,12,1420.34,118.36,1,50865.01,253,201.05
2020-06,15,10,1140.33,114.03,1,52005.34,253,205.55
2020-06,16,7,1004.33,143.48,1,53009.67,253,209.52
2020-06,17,10,930.84,93.08,1,53940.51,253,213.2
2020-06,18,13,2314.19,178.01,1.08,56254.7,253,222.35
2020-06,19,12,1086.05,90.5,1,57340.75,253,226.64
2020-06,20,6,639.29,106.55,1,57980.04,253,229.17
2020-06,21,12,1029.47,85.79,1,59009.51,253,233.24
2020-06,22,9,913.73,101.53,1,59923.24,253,236.85
2020-06,23,10,997.94,99.79,1,60921.18,253,240.8
2020-06,24,10,709.16,70.92,1.2,61630.34,253,243.6
2020-06,25,8,1055.66,131.96,1,62686,253,247.77
2020-06,26,9,981.78,109.09,1,63667.78,253,251.65
2020-06,27,5,966.38,193.28,1.2,64634.16,253,255.47
2020-06,28,11,1471.22,133.75,1,66105.38,253,261.29
2020-06,29,7,610.51,87.22,1,66715.89,253,263.7
2020-06,30,11,1071.53,97.41,1.09,67787.42,253,267.93
2020-06,31,7,832.38,118.91,1,68619.8,253,271.22
2020-06,32,13,1074.53,82.66,1,69694.33,253,275.47
2020-06,33,7,1052.84,150.41,1,70747.17,253,279.63
2020-06,34,12,1984.77,165.4,1,72731.94,253,287.48
2020-06,35,9,712.25,79.14,1,73444.19,253,290.29
2020-06,36,5,552.84,110.57,1,73997.03,253,292.48
2020-06,37,9,760.2,84.47,1.11,74757.23,253,295.48
2020-06,38,8,1110.27,138.78,1,75867.5,253,299.87
2020-06,39,7,874.02,124.86,1,76741.52,253,303.33
2020-06,40,12,1187.93,98.99,1,77929.45,253,308.02
2020-06,41,6,838.19,139.7,1,78767.64,253,311.33
2020-06,42,9,1124.14,124.9,1,79891.78,253,315.78
2020-06,43,7,538.03,76.86,1,80429.81,253,317.9
2020-06,44,10,1555.32,155.53,1,81985.13,253,324.05
2020-06,45,12,1621.73,135.14,1,83606.86,253,330.46
2020-06,46,10,1843.18,184.32,1.1,85450.04,253,337.75
2020-06,47,7,561.4,80.2,1,86011.44,253,339.97
2020-06,48,8,1196.73,149.59,1.13,87208.17,253,344.7
2020-06,49,13,2457.43,189.03,1,89665.6,253,354.41
2020-06,50,8,1070.33,133.79,1.13,90735.93,253,358.64
2020-06,51,11,1231.01,111.91,1,91966.94,253,363.51
2020-06,52,14,1100.34,78.6,1,93067.28,253,367.85
2020-06,53,15,2325.16,155.01,1.13,95392.44,253,377.05
2020-06,54,10,1217.49,121.75,1,96609.93,253,381.86
2020-06,55,5,928.71,185.74,1.2,97538.64,253,385.53
2020-06,56,10,765.83,76.58,1,98304.47,253,388.56
2020-06,57,10,628.64,62.86,1,98933.11,253,391.04
2020-06,58,11,2248.88,204.44,1,101181.99,253,399.93
2020-06,59,13,1608.96,123.77,1.08,102790.95,253,406.29
2020-06,60,9,1974.31,219.37,1,104765.26,253,414.09
2020-06,61,7,2480.51,354.36,1,107245.77,253,423.9
2020-06,62,11,1165.74,105.98,1.09,108411.51,253,428.5
2020-06,63,8,566.67,70.83,1,108978.18,253,430.74
2020-06,64,14,3651.59,260.83,1,112629.77,253,445.18
2020-06,65,11,916.25,83.3,1.09,113546.02,253,448.8
2020-06,66,10,1075.9,107.59,1,114621.92,253,453.05
2020-06,67,16,2188.77,136.8,1,116810.69,253,461.7
2020-06,68,13,1451.43,111.65,1,118262.12,253,467.44
2020-06,69,10,935.74,93.57,1,119197.86,253,471.14
2020-07,0,267,32412.46,121.39,1.02,32412.46,267,121.39
2020-07,1,8,882.81,110.35,1.13,33295.27,267,124.7
2020-07,2,8,726.03,90.75,1.13,34021.3,267,127.42
2020-07,3,5,690.45,138.09,1.2,34711.75,267,130.01
2020-07,4,13,4165.53,320.43,1.15,38877.28,267,145.61
2020-07,5,11,1026.38,93.31,1,39903.66,267,149.45
2020-07,6,16,1928.02,120.5,1.13,41831.68,267,156.67
2020-07,7,6,754.57,125.76,1,42586.25,267,159.5
2020-07,8,9,957.28,106.36,1.22,43543.53,267,163.08
