cohort_month,month_number,active_customers,avg_aov,median_aov,min_aov,max_aov,aov_index,distribution_type
2020-02,45,14,122.7,85.98,14.86,549.03,96.68,右偏（高客单价拉高均值）
2020-02,46,11,156.66,107.86,16.18,400.19,123.44,右偏（高客单价拉高均值）
2020-02,47,9,107.69,64.19,13.3,231.29,84.86,右偏（高客单价拉高均值）
2020-02,48,9,56.72,47.79,20.31,96.9,44.69,正态分布
2020-02,49,16,216.32,98.92,10.33,999.63,170.45,右偏（高客单价拉高均值）
2020-02,50,12,77.13,72.5,18.3,138.61,60.78,正态分布
2020-02,51,13,145.6,74.68,15.45,666.5,114.73,右偏（高客单价拉高均值）
2020-02,52,18,141.42,119.56,12.99,568.47,111.43,正态分布
2020-02,53,10,116.85,140.53,14.62,248.83,92.07,左偏（低客单价拉低均值）
2020-02,54,14,128.73,51.28,23.3,574.07,101.43,右偏（高客单价拉高均值）
2020-02,55,17,108.14,61.27,18.06,344.67,85.21,右偏（高客单价拉高均值）
2020-02,56,11,101.99,82.67,12.54,282.34,80.36,右偏（高客单价拉高均值）
2020-02,57,17,122.72,122.88,22.2,431.65,96.7,正态分布
2020-02,58,17,95.99,87.68,17.71,202.49,75.64,正态分布
2020-02,59,9,81.18,48.22,20.46,203.87,63.97,右偏（高客单价拉高均值）
2020-02,60,8,159.26,90.62,20.02,471.41,125.49,右偏（高客单价拉高均值）
2020-02,61,8,56.76,47.63,16.83,176.34,44.72,正态分布
2020-02,62,12,79.77,55.27,30.83,350.67,62.86,右偏（高客单价拉高均值）
2020-02,63,11,129.46,96.41,28.17,287,102.01,右偏（高客单价拉高均值）
2020-02,64,12,126.89,77.48,16.28,607.9,99.98,右偏（高客单价拉高均值）
2020-02,65,14,113.02,93.94,23.51,232.26,89.06,右偏（高客单价拉高均值）
2020-02,66,20,137.51,98.16,21.65,354.58,108.35,右偏（高客单价拉高均值）
2020-02,67,7,42.76,41.76,10.15,76.99,33.69,正态分布
2020-02,68,10,107.59,104.91,22.55,195.96,84.78,正态分布
2020-02,69,11,97.15,77.46,33.61,308.99,76.55,右偏（高客单价拉高均值）
2020-02,70,15,137.98,111.01,22.84,392.35,108.72,右偏（高客单价拉高均值）
2020-02,71,10,110.42,93.82,24.86,287.24,87.01,正态分布
2020-02,72,7,92.86,63.74,22.81,175.48,73.17,右偏（高客单价拉高均值）
2020-02,73,9,151.67,95.21,27.16,448.52,119.51,右偏（高客单价拉高均值）
2020-03,0,276,133.05,94.27,6.6,1536.25,100,右偏（高客单价拉高均值）
2020-03,1,7,137.22,141.31,38.78,255.77,103.13,正态分布
2020-03,2,21,137.35,82.54,29.31,470.98,103.23,右偏（高客单价拉高均值）
2020-03,3,8,169.77,92.16,23.66,666.72,127.6,右偏（高客单价拉高均值）
2020-03,4,12,125.38,123.13,17.9,258.09,94.24,正态分布
2020-03,5,20,91.72,73.18,14.27,293.98,68.94,右偏（高客单价拉高均值）
2020-03,6,5,118.33,87.24,55.93,213.15,88.94,右偏（高客单价拉高均值）
2020-03,7,14,115.17,86.11,16.06,402.88,86.56,右偏（高客单价拉高均值）
2020-03,8,9,94.45,84.97,23.49,241.21,70.99,正态分布
2020-03,9,10,188.44,105.45,37.44,595.78,141.63,右偏（高客单价拉高均值）
2020-03,10,12,106.7,90.77,17.33,252.34,80.2,正态分布
2020-03,11,7,128.06,49.67,25.35,502.23,96.25,右偏（高客单价拉高均值）
2020-03,12,19,126.65,72.76,22.83,495.54,95.19,右偏（高客单价拉高均值）
2020-03,13,11,138.25,96.53,39.95,365.23,103.91,右偏（高客单价拉高均值）
2020-03,14,8,61,34.41,19.24,156.44,45.85,右偏（高客单价拉高均值）
2020-03,15,11,192.93,95.35,12.99,937.99,145.01,右偏（高客单价拉高均值）
2020-03,16,16,79.43,66.8,23.11,207.42,59.7,正态分布
2020-03,17,9,99.57,119.73,20.13,222.82,74.84,左偏（低客单价拉低均值）
2020-03,18,11,145.98,89.44,21.6,520.43,109.72,右偏（高客单价拉高均值）
2020-03,19,11,102.38,54.94,18.41,296.63,76.95,右偏（高客单价拉高均值）
2020-03,20,10,90.83,45.72,20.68,526.92,68.27,右偏（高客单价拉高均值）
2020-03,21,8,146.8,111.38,10.65,377.33,110.33,右偏（高客单价拉高均值）
2020-03,22,11,97.13,79.01,24.29,277.47,73,右偏（高客单价拉高均值）
2020-03,23,12,124.51,95.44,24.74,586.15,93.58,右偏（高客单价拉高均值）
2020-03,24,13,94.98,93.21,19.3,217.12,71.39,正态分布
2020-03,25,12,138.18,40.97,18.56,962.71,103.86,右偏（高客单价拉高均值）
2020-03,26,11,182.6,87.54,8.81,724.2,137.24,右偏（高客单价拉高均值）
2020-03,27,12,188.23,103.36,15.36,852.34,141.47,右偏（高客单价拉高均值）
2020-03,28,8,91.74,89.4,43.24,150.38,68.95,正态分布
2020-03,29,12,138,69.84,25.64,486.72,103.72,右偏（高客单价拉高均值）
2020-03,30,11,153.59,135.17,22.8,407.56,115.44,正态分布
2020-03,31,14,112.07,85.94,24.25,300.27,84.23,右偏（高客单价拉高均值）
2020-03,32,13,133.98,113.92,27.3,447.94,100.7,正态分布
2020-03,33,15,120.21,91.35,21.36,287.45,90.35,右偏（高客单价拉高均值）
2020-03,34,10,259.36,124.85,41.13,1211.68,194.93,右偏（高客单价拉高均值）
2020-03,35,12,78.36,67.27,16.15,160.75,58.9,正态分布
2020-03,36,12,176.84,95.83,13.84,654,132.91,右偏（高客单价拉高均值）
2020-03,37,9,115.81,73.84,19.19,342.5,87.04,右偏（高客单价拉高均值）
2020-03,38,9,110.95,65.6,32.67,251.82,83.39,右偏（高客单价拉高均值）
2020-03,39,9,151.05,67.93,18.55,492.64,113.53,右偏（高客单价拉高均值）
2020-03,40,10,250.83,131.75,49.94,760.14,188.52,右偏（高客单价拉高均值）
2020-03,41,16,169.41,130.49,24.6,553.31,127.33,右偏（高客单价拉高均值）
2020-03,42,8,102.51,88.69,21.12,204.8,77.05,正态分布
2020-03,43,20,155.28,93.94,21.4,608.8,116.71,右偏（高客单价拉高均值）
2020-03,44,13,141.79,103.99,21.31,516.55,106.57,右偏（高客单价拉高均值）
2020-03,45,13,89.31,60.97,21.71,227.83,67.13,右偏（高客单价拉高均值）
2020-03,46,11,114.31,107.55,38.67,246.01,85.92,正态分布
2020-03,47,14,73.15,50.83,21.05,261.38,54.98,右偏（高客单价拉高均值）
2020-03,48,10,181.31,106.47,25.22,835.74,136.27,右偏（高客单价拉高均值）
2020-03,49,17,97.36,65.36,25.56,273.19,73.18,右偏（高客单价拉高均值）
2020-03,50,8,78.94,73.35,29.62,139.15,59.33,正态分布
2020-03,51,11,100.4,75.87,21.29,482.5,75.46,右偏（高客单价拉高均值）
2020-03,52,8,90.4,44.78,20.18,379.73,67.94,右偏（高客单价拉高均值）
2020-03,53,11,144.21,45.83,10.69,883.64,108.39,右偏（高客单价拉高均值）
2020-03,54,11,128.91,76.18,22.27,459.17,96.89,右偏（高客单价拉高均值）
2020-03,55,8,92.63,108.45,14.63,165.12,69.62,正态分布
2020-03,56,9,112.59,106.52,36.67,205.91,84.62,正态分布
2020-03,57,6,76.88,84.53,13.95,129.33,57.78,正态分布
2020-03,58,13,131.39,87.92,24.09,370.51,98.75,右偏（高客单价拉高均值）
2020-03,59,12,132.66,80.36,20.7,395.69,99.71,右偏（高客单价拉高均值）
2020-03,60,13,227.32,99.11,39.18,996.42,170.85,右偏（高客单价拉高均值）
2020-03,61,15,98.27,62.91,27.47,256.21,73.86,右偏（高客单价拉高均值）
2020-03,62,15,111.61,93.91,13.29,406.63,83.89,正态分布
2020-03,63,16,119.67,88.61,10.98,540.08,89.94,右偏（高客单价拉高均值）
2020-03,64,12,110.47,99.33,21.74,300.96,83.03,正态分布
2020-03,65,11,122.56,70.79,23.9,559.97,92.12,右偏（高客单价拉高均值）
2020-03,66,13,154.87,122.79,22.37,665.06,116.4,右偏（高客单价拉高均值）
2020-03,67,11,195.32,58.45,16.55,969.31,146.8,右偏（高客单价拉高均值）
2020-03,68,12,197.96,79.09,11.29,898.82,148.79,右偏（高客单价拉高均值）
2020-03,69,19,125.42,73.97,10.75,487.24,94.27,右偏（高客单价拉高均值）
2020-03,70,17,91.05,82.55,24.51,276.67,68.43,正态分布
2020-03,71,12,171.08,121.38,7.93,688.17,128.58,右偏（高客单价拉高均值）
2020-03,72,16,113.37,77.59,18.57,394.29,85.21,右偏（高客单价拉高均值）
2020-04,0,304,127.36,76.34,11.3,1362.85,100,右偏（高客单价拉高均值）
2020-04,1,19,106.01,52.3,8.77,337,83.24,右偏（高客单价拉高均值）
2020-04,2,16,161.06,93.03,24.48,838.53,126.46,右偏（高客单价拉高均值）
2020-04,3,10,124.25,94,31.41,402.24,97.56,右偏（高客单价拉高均值）
2020-04,4,18,108.99,92.14,22.02,326.61,85.58,正态分布
2020-04,5,8,134.07,50.12,14.86,379.39,105.27,右偏（高客单价拉高均值）
2020-04,6,14,76.76,66.38,11.42,203.77,60.27,正态分布
2020-04,7,13,119.38,99.62,21.75,287.67,93.73,正态分布
2020-04,8,20,104.07,88.97,11.82,231.65,81.71,正态分布
2020-04,9,15,102.81,80.52,26.29,253.48,80.72,右偏（高客单价拉高均值）
2020-04,10,7,43.27,36.57,23.84,75.05,33.97,正态分布
2020-04,11,14,144.22,132.24,18.74,385.18,113.24,正态分布
2020-04,12,13,124.03,101.35,21.05,353.89,97.39,右偏（高客单价拉高均值）
2020-04,13,9,110.36,129.26,32.44,207.67,86.65,正态分布
2020-04,14,14,98.89,65.39,19.18,316.49,77.65,右偏（高客单价拉高均值）
2020-04,15,13,171.93,80.56,27.32,1064.62,135,右偏（高客单价拉高均值）
2020-04,16,25,77.8,54,17.79,222.05,61.09,右偏（高客单价拉高均值）
2020-04,17,6,119.13,59.89,29.34,396.52,93.54,右偏（高客单价拉高均值）
2020-04,18,9,58.85,37.58,16.66,192.51,46.21,右偏（高客单价拉高均值）
2020-04,19,16,84.52,51.25,31.1,298.39,66.36,右偏（高客单价拉高均值）
2020-04,20,16,109.32,93.8,23.69,201.37,85.84,正态分布
2020-04,21,13,148.04,88.79,11.16,496.35,116.24,右偏（高客单价拉高均值）
2020-04,22,8,125.11,102.98,34.52,255.84,98.23,右偏（高客单价拉高均值）
2020-04,23,12,169.92,160.25,49.08,469.17,133.42,正态分布
2020-04,24,15,86.33,77.9,12.93,259.35,67.78,正态分布
2020-04,25,17,97.17,55.07,26.3,362.57,76.3,右偏（高客单价拉高均值）
2020-04,26,10,355.01,95.11,33.2,1686.07,278.75,右偏（高客单价拉高均值）
2020-04,27,17,105.02,96.68,34.78,206.63,82.46,正态分布
2020-04,28,10,71.82,79.41,36.87,115.02,56.39,正态分布
2020-04,29,11,103.54,59.36,26.86,435.32,81.3,右偏（高客单价拉高均值）
2020-04,30,11,151.62,160.88,22.45,405.73,119.05,正态分布
2020-04,31,11,108.32,88.18,22.38,265.26,85.05,右偏（高客单价拉高均值）
2020-04,32,11,123.48,71.74,10.07,536.5,96.95,右偏（高客单价拉高均值）
2020-04,33,16,90.64,68.17,27.35,340.35,71.17,右偏（高客单价拉高均值）
2020-04,34,16,138.48,103.38,17.4,454.72,108.73,右偏（高客单价拉高均值）
2020-04,35,9,149.66,149.05,24.29,329.33,117.51,正态分布
2020-04,36,7,85.35,72,23.45,235.54,67.01,正态分布
2020-04,37,12,128.19,66.36,30.19,422.91,100.65,右偏（高客单价拉高均值）
2020-04,38,11,112.86,64.53,26.45,604.48,88.61,右偏（高客单价拉高均值）
2020-04,39,10,143.02,126.82,11.97,568.12,112.3,正态分布
2020-04,40,13,143.44,80.95,55.12,499.45,112.63,右偏（高客单价拉高均值）
2020-04,41,12,120.67,122.53,8.92,258.84,94.75,正态分布
2020-04,42,13,158.32,121.56,19.83,370.27,124.31,右偏（高客单价拉高均值）
2020-04,43,11,73.21,84.09,18.85,139.15,57.48,正态分布
2020-04,44,9,76.82,59.45,24.39,204.73,60.32,右偏（高客单价拉高均值）
2020-04,45,11,127.18,111.96,24.64,352.76,99.86,正态分布
2020-04,46,9,166.73,81.01,33.59,447.36,130.91,右偏（高客单价拉高均值）
2020-04,47,9,114.37,45.94,19.36,444.41,89.8,右偏（高客单价拉高均值）
2020-04,48,10,76.83,75.98,47.72,149.73,60.33,正态分布
2020-04,49,11,93.17,64.41,14.84,310.86,73.15,右偏（高客单价拉高均值）
2020-04,50,9,137.58,72.69,14.71,407.42,108.02,右偏（高客单价拉高均值）
2020-04,51,11,124.98,95.14,10.64,370.6,98.13,右偏（高客单价拉高均值）
2020-04,52,17,67.95,59.01,19.52,165.14,53.35,正态分布
2020-04,53,20,88.14,64.55,16.09,303.54,69.21,右偏（高客单价拉高均值）
2020-04,54,17,131.22,94.47,27.5,530.94,103.03,右偏（高客单价拉高均值）
2020-04,55,16,148.57,84.37,22.8,629.41,116.65,右偏（高客单价拉高均值）
2020-04,56,20,106.97,82.01,15.8,274.99,83.99,右偏（高客单价拉高均值）
2020-04,57,6,133.92,89.94,39.36,364.24,105.15,右偏（高客单价拉高均值）
2020-04,58,10,77.48,75.97,35.81,124.41,60.84,正态分布
2020-04,59,10,217.8,87.31,22.85,795.5,171.01,右偏（高客单价拉高均值）
2020-04,60,18,109.51,74.97,9.01,345.24,85.98,右偏（高客单价拉高均值）
2020-04,61,10,327.95,147.13,28.54,2114.14,257.5,右偏（高客单价拉高均值）
2020-04,62,14,133.99,85.94,16.83,434.04,105.21,右偏（高客单价拉高均值）
2020-04,63,9,239.44,106.19,41.29,820.79,188,右偏（高客单价拉高均值）
2020-04,64,9,210.77,98.65,24.08,1068.41,165.49,右偏（高客单价拉高均值）
2020-04,65,6,109.36,108.38,25.66,207.33,85.87,正态分布
2020-04,66,11,155.54,90.8,27.43,533.54,122.13,右偏（高客单价拉高均值）
2020-04,67,8,89.75,86.03,28.08,153.27,70.47,正态分布
2020-04,68,9,149.58,82.6,21.47,568.16,117.45,右偏（高客单价拉高均值）
2020-04,69,11,92.57,94.48,14.75,161.83,72.68,正态分布
2020-04,70,8,139.46,73.48,5.5,499.36,109.5,右偏（高客单价拉高均值）
2020-04,71,11,140.01,114.1,16.36,500.82,109.93,右偏（高客单价拉高均值）
2020-05,0,289,132.46,85.76,12.69,822.87,100,右偏（高客单价拉高均值）
2020-05,1,13,97.35,85.87,28.45,336.04,73.49,正态分布
2020-05,2,12,128.29,86,39.13,424.36,96.85,右偏（高客单价拉高均值）
2020-05,3,15,161.19,126.34,9.88,502.24,121.69,右偏（高客单价拉高均值）
2020-05,4,11,113.28,102.89,21.51,245.96,85.52,正态分布
2020-05,5,15,172.82,74.95,34.6,901.87,130.47,右偏（高客单价拉高均值）
2020-05,6,10,106.09,119.41,16.65,226.14,80.09,正态分布
2020-05,7,15,143.47,100.47,23.78,687.92,108.31,右偏（高客单价拉高均值）
2020-05,8,17,181.77,107.7,22,898.92,137.23,右偏（高客单价拉高均值）
2020-05,9,6,57.09,44.27,18.03,122.52,43.1,右偏（高客单价拉高均值）
2020-05,10,12,151.41,43.83,13.8,908.35,114.31,右偏（高客单价拉高均值）
2020-05,11,5,95.47,60.05,41.99,175.97,72.07,右偏（高客单价拉高均值）
2020-05,12,6,71.98,46.32,28.99,181.14,54.34,右偏（高客单价拉高均值）
2020-05,13,10,108.36,65.98,20.04,305.54,81.81,右偏（高客单价拉高均值）
2020-05,14,10,137.62,90.95,48.03,342,103.9,右偏（高客单价拉高均值）
2020-05,15,10,125.78,92.73,16.47,413.14,94.96,右偏（高客单价拉高均值）
2020-05,16,12,110.27,86.78,42.78,244.92,83.25,右偏（高客单价拉高均值）
2020-05,17,14,103.33,96.51,39.94,176.84,78.01,正态分布
2020-05,18,12,76.63,59.28,27.36,153.27,57.85,右偏（高客单价拉高均值）
2020-05,19,8,80.91,48.09,10.48,300.63,61.08,右偏（高客单价拉高均值）
2020-05,20,11,201.16,116.58,34.05,762.35,151.86,右偏（高客单价拉高均值）
2020-05,21,13,171.24,90.1,35.61,573.44,129.28,右偏（高客单价拉高均值）
2020-05,22,13,175.54,76.75,14.73,977.72,132.52,右偏（高客单价拉高均值）
2020-05,23,6,92.86,79.63,55.25,143.64,70.1,正态分布
2020-05,24,12,135.28,86.33,16.78,723.44,102.13,右偏（高客单价拉高均值）
2020-05,25,13,118.41,103.77,22.54,239.6,89.39,正态分布
2020-05,26,14,102.1,65.17,18.38,346.35,77.08,右偏（高客单价拉高均值）
2020-05,27,10,107.76,97.32,11.03,327.52,81.35,正态分布
2020-05,28,10,130.81,96.87,26.25,386.9,98.75,右偏（高客单价拉高均值）
2020-05,29,9,191.82,82.47,20.23,479.45,144.81,右偏（高客单价拉高均值）
2020-05,30,10,138.17,90.72,15.52,522.46,104.31,右偏（高客单价拉高均值）
2020-05,31,11,116.35,82,30.32,445.47,87.84,右偏（高客单价拉高均值）
2020-05,32,4,111.2,112.83,30.06,189.09,83.95,正态分布
2020-05,33,8,65.47,55.1,21.86,148.87,49.43,正态分布
2020-05,34,11,48.9,46.56,11.39,91.91,36.92,正态分布
2020-05,35,16,164.59,99.63,18.16,657.91,124.26,右偏（高客单价拉高均值）
2020-05,36,17,174.52,132.35,24.51,525.38,131.75,右偏（高客单价拉高均值）
2020-05,37,12,98.81,58.84,20.45,344.51,74.6,右偏（高客单价拉高均值）
2020-05,38,13,187.4,105.49,31.8,646.59,141.48,右偏（高客单价拉高均值）
2020-05,39,8,59.89,50.72,19.79,131.61,45.21,正态分布
2020-05,40,10,177.88,73.55,47.55,650.71,134.29,右偏（高客单价拉高均值）
2020-05,41,12,154.32,109.41,15.65,586.35,116.5,右偏（高客单价拉高均值）
2020-05,42,10,141.63,84.95,21.75,407.01,106.92,右偏（高客单价拉高均值）
2020-05,43,11,78.34,66.63,22.14,249.11,59.14,正态分布
