customer_id,country,age,gender,membership_tier,registration_to_now_date,registration_date,total_orders,total_spend_usd,avg_order_value_usd,days_since_last_purchase,preferred_category,preferred_device,preferred_payment_method,acquisition_channel,reviews_given,avg_review_score,return_rate,returns_made,wishlist_items,newsletter_subscribed,churned,age_group,registration_year,monthly_orders,monthly_spend
C03599,India,35,Male,Platinum,393,2025/3/31,28,15388.27,498.38,45,Clothing & Apparel,Tablet,Credit Card,Email Campaign,4,4.8,0.071,2,0,1,0,25-35,13,2.14,1174.68
C06084,United Kingdom,18,Male,Platinum,66,2026/2/21,45,15297.86,354.74,29,Home & Kitchen,Mobile,UPI / Digital Wallet,Paid Ad,16,3.8,0.111,5,12,1,0,<25,2,20.45,6953.57
C00663,United States,38,Male,Free,145,2025/12/4,33,14931.56,439.01,82,Sports & Outdoors,Mobile,Debit Card,Paid Ad,5,4.3,0,0,0,1,0,36-45,5,6.83,3089.29
C03832,United States,25,Male,Free,341,2025/5/22,29,14926.64,452.4,33,Home & Kitchen,Mobile,Credit Card,Referral,7,3.5,0.034,1,7,1,0,25-35,11,2.55,1313.19
C01957,Turkey,35,Female,Gold,955,2023/9/16,65,14798.39,216.15,15,Electronics,Mobile,PayPal,Organic Search,4,4.4,0.123,8,0,1,0,25-35,32,2.04,464.87
C07444,United Kingdom,44,Other,Gold,817,2024/2/1,62,14363.26,223.37,35,Sports & Outdoors,Mobile,Debit Card,Paid Ad,18,3.8,0.065,4,0,0,0,36-45,27,2.28,527.41
C03165,France,42,Male,Free,1275,2022/10/31,57,14180.65,258.42,30,Sports & Outdoors,Mobile,Debit Card,Email Campaign,5,4.3,0.14,8,5,1,0,36-45,43,1.34,333.66
C00173,Germany,46,Male,Free,1103,2023/4/21,64,14180.27,200.53,30,Food & Grocery,Mobile,Debit Card,Email Campaign,11,2.4,0.047,3,8,1,0,>45,37,1.74,385.68
C02693,India,45,Female,Free,144,2025/12/5,72,14003.76,208.2,157,Clothing & Apparel,Mobile,Debit Card,Paid Ad,10,3.6,0.111,8,3,0,0,36-45,5,15,2917.45
C06979,United States,30,Female,Free,299,2025/7/3,37,13911.3,407.26,121,Clothing & Apparel,Mobile,Credit Card,Paid Ad,12,4.7,0.108,4,1,1,0,25-35,10,3.71,1395.78
C00147,United States,42,Female,Silver,1826,2021/4/28,35,13804.4,460.3,86,Books,Desktop,PayPal,Organic Search,8,4.2,0.114,4,7,0,0,36-45,61,0.58,226.8
C03887,South Korea,31,Female,Free,300,2025/7/2,62,13613.93,197.15,184,Clothing & Apparel,Mobile,Credit Card,Social Media,4,4,0.065,4,0,1,0,25-35,10,6.2,1361.39
C06141,France,22,Male,Platinum,276,2025/7/26,27,13500.15,489.09,162,Office Supplies,Desktop,Debit Card,Social Media,1,4.5,0.074,2,1,1,0,<25,9,2.93,1467.41
C03646,United States,19,Male,Free,937,2023/10/4,37,13434.58,344.45,3,Electronics,Desktop,Credit Card,Organic Search,11,2.6,0.027,1,0,1,0,<25,31,1.18,430.14
C03055,United States,45,Female,Free,137,2025/12/12,40,13124.07,293.4,37,Beauty & Personal Care,Desktop,Credit Card,Email Campaign,3,4.6,0.05,2,5,0,1,36-45,5,8.76,2873.88
C06289,United States,22,Male,Platinum,1176,2023/2/7,37,12941.65,307.46,2,Toys & Games,Mobile,Buy Now Pay Later,Organic Search,2,4.6,0.108,4,3,0,0,<25,39,0.94,330.14
C00987,United Kingdom,24,Male,Free,396,2025/3/28,46,12901.84,261.53,6,Beauty & Personal Care,Desktop,PayPal,Referral,11,3.7,0.13,6,6,1,0,<25,13,3.48,977.41
C05107,Australia,28,Female,Silver,63,2026/2/24,52,12797.59,279.65,11,Home & Kitchen,Desktop,UPI / Digital Wallet,Organic Search,5,3.6,0.115,6,1,1,0,25-35,2,24.76,6094.09
C00911,South Korea,28,Male,Gold,1962,2020/12/13,44,12758.8,302.69,13,Toys & Games,Mobile,Credit Card,Social Media,13,3,0.136,6,0,0,0,25-35,65,0.67,195.09
C04251,India,20,Male,Platinum,989,2023/8/13,24,12740.31,466.88,11,Automotive,Mobile,Debit Card,Referral,3,3.8,0,0,0,1,0,<25,33,0.73,386.46
C03576,Japan,42,Male,Platinum,335,2025/5/28,71,12669.35,159.75,1,Clothing & Apparel,Mobile,PayPal,Referral,6,4.1,0.014,1,1,0,0,36-45,11,6.36,1134.57
C03248,United States,51,Male,Gold,1500,2022/3/20,63,12668.85,200,100,Electronics,Mobile,Debit Card,Direct,24,3.5,0.111,7,3,0,0,>45,50,1.26,253.38
C00813,Italy,39,Male,Platinum,1329,2022/9/7,45,12480.93,251.91,61,Electronics,Mobile,PayPal,Paid Ad,6,4.3,0,0,7,0,1,36-45,44,1.02,281.74
C06247,United States,52,Female,Free,767,2024/3/22,47,12411.9,275.1,14,Travel & Luggage,Mobile,UPI / Digital Wallet,Paid Ad,15,4.8,0.064,3,14,1,0,>45,26,1.84,485.47
C02594,United States,36,Female,Gold,77,2026/2/10,33,12247.36,403.89,26,Clothing & Apparel,Desktop,Credit Card,Email Campaign,2,4.7,0.061,2,5,0,0,36-45,3,12.86,4771.7
C05720,Japan,54,Female,Platinum,64,2026/2/23,49,12219.92,262.66,93,Beauty & Personal Care,Desktop,PayPal,Organic Search,5,4.7,0.02,1,10,1,0,>45,2,22.97,5728.09
C07298,Brazil,27,Male,Free,857,2023/12/23,30,12219.51,405.77,38,Home & Kitchen,Desktop,Credit Card,Social Media,5,4.1,0.067,2,0,1,0,25-35,29,1.05,427.75
C01712,United States,42,Male,Platinum,101,2026/1/17,18,12088.56,659.92,14,Clothing & Apparel,Mobile,UPI / Digital Wallet,Organic Search,6,4.1,0.056,1,0,1,0,36-45,3,5.35,3590.66
C02495,United Kingdom,21,Female,Gold,1605,2021/12/5,27,11700.91,422.88,27,Clothing & Apparel,Mobile,PayPal,Social Media,8,4.8,0.111,3,2,1,0,<25,54,0.5,218.71
C01905,United States,39,Female,Gold,69,2026/2/18,77,11528.78,135.92,322,Electronics,Desktop,Credit Card,Referral,26,4.4,0.039,3,0,0,1,36-45,2,33.48,5012.51
C06533,United Kingdom,25,Male,Gold,1288,2022/10/18,49,11463.86,254.48,13,Electronics,Desktop,Debit Card,Social Media,3,4.1,0.102,5,14,1,0,25-35,43,1.14,267.02
C01397,UAE,45,Female,Free,1000,2023/8/2,38,11446.99,281.12,57,Electronics,Mobile,Credit Card,Social Media,3,3.1,0.053,2,1,0,0,36-45,33,1.14,343.41
C00550,Japan,45,Male,Gold,345,2025/5/18,31,11446.58,324.43,160,Food & Grocery,Tablet,Bank Transfer,Direct,3,4.6,0.032,1,0,0,0,36-45,12,2.7,995.35
C04082,Singapore,32,Female,Free,1623,2021/11/17,47,11418.43,249.83,73,Toys & Games,Mobile,Credit Card,Organic Search,17,4.1,0,0,8,1,0,25-35,54,0.87,211.06
C01335,United States,19,Female,Free,428,2025/2/24,65,11356.66,172.24,5,Food & Grocery,Mobile,Credit Card,Email Campaign,13,3.7,0.015,1,7,0,0,<25,14,4.56,796.03
C03534,Australia,47,Female,Platinum,370,2025/4/23,48,11328.9,213.92,183,Electronics,Mobile,Debit Card,Social Media,17,3.8,0.042,2,6,0,0,>45,12,3.89,918.56
C05366,United States,23,Female,Silver,1144,2023/3/11,23,11312.02,445.93,93,Electronics,Mobile,Debit Card,Organic Search,4,4.1,0.043,1,0,0,0,<25,38,0.6,296.64
C01759,Germany,18,Male,Free,199,2025/10/11,57,11266.02,229.34,200,Automotive,Desktop,Credit Card,Organic Search,9,4.3,0.053,3,3,1,0,<25,7,8.59,1698.39
C03024,Mexico,42,Female,Free,180,2025/10/30,62,11195.16,189.1,28,Jewelry & Accessories,Mobile,PayPal,Email Campaign,19,4.8,0.065,4,5,0,0,36-45,6,10.33,1865.86
C07669,Australia,30,Male,Platinum,2157,2020/6/1,25,11192.62,501.97,23,Electronics,Desktop,Credit Card,Organic Search,1,3.9,0.08,2,5,0,1,25-35,72,0.35,155.67
C02113,Germany,54,Male,Free,345,2025/5/18,30,11166.65,400.35,15,Pet Supplies,Mobile,Debit Card,Direct,5,4.5,0.033,1,4,0,0,>45,12,2.61,971.01
C02810,France,36,Female,Gold,1024,2023/7/9,32,11099.37,314,217,Jewelry & Accessories,Tablet,PayPal,Social Media,5,3.8,0.031,1,4,0,1,36-45,34,0.94,325.18
C03317,Canada,30,Male,Gold,955,2023/9/16,44,10943.22,232.24,51,Clothing & Apparel,Mobile,Bank Transfer,Social Media,6,4,0.091,4,0,1,0,25-35,32,1.38,343.77
C05264,United States,25,Male,Platinum,337,2025/5/26,41,10910.9,245.59,18,Books,Mobile,Buy Now Pay Later,Organic Search,3,3,0.122,5,1,1,0,25-35,11,3.65,971.3
C01635,Japan,18,Female,Gold,443,2025/2/9,61,10890.8,196.67,54,Books,Desktop,Credit Card,Organic Search,10,4.9,0.066,4,9,0,0,<25,15,4.13,737.53
C07752,United Kingdom,29,Female,Silver,77,2026/2/10,63,10883.85,182.85,81,Electronics,Mobile,Credit Card,Organic Search,24,4.3,0.111,7,0,0,0,25-35,3,24.55,4240.46
C07933,United States,33,Male,Free,263,2025/8/8,35,10763.96,301.92,54,Sports & Outdoors,Mobile,Debit Card,Organic Search,10,3.9,0.114,4,7,0,0,25-35,9,3.99,1227.83
C06416,United Kingdom,18,Male,Platinum,573,2024/10/2,24,10679.95,389.14,21,Sports & Outdoors,Tablet,UPI / Digital Wallet,Email Campaign,9,4.5,0.042,1,0,1,0,<25,19,1.26,559.16
C03999,United States,35,Female,Free,137,2025/12/12,68,10646.11,170.71,93,Sports & Outdoors,Mobile,PayPal,Organic Search,3,3.7,0.059,4,0,1,0,25-35,5,14.89,2331.26
C00791,Brazil,19,Male,Gold,709,2024/5/19,41,10569.33,260.89,79,Jewelry & Accessories,Desktop,PayPal,Referral,6,3.8,0.073,3,1,1,0,<25,24,1.73,447.22
C04961,United States,46,Female,Free,571,2024/10/4,49,10553.35,207.91,21,Beauty & Personal Care,Tablet,UPI / Digital Wallet,Organic Search,4,3.2,0.082,4,1,0,0,>45,19,2.57,554.47
C00319,France,35,Male,Gold,393,2025/3/31,60,10480.11,162.56,13,Clothing & Apparel,Mobile,PayPal,Organic Search,9,3.2,0.05,3,7,1,0,25-35,13,4.58,800.01
C00711,United States,32,Male,Free,561,2024/10/14,48,10448.07,233.96,0,Home & Kitchen,Mobile,UPI / Digital Wallet,Email Campaign,2,3.9,0.146,7,9,0,0,25-35,19,2.57,558.72
C04039,United Kingdom,18,Female,Silver,554,2024/10/21,40,10424.42,226.95,35,Books,Tablet,Bank Transfer,Paid Ad,13,4.6,0.125,5,1,0,0,<25,18,2.17,564.5
C04411,United States,38,Female,Free,69,2026/2/18,37,10392.95,303.8,5,Home & Kitchen,Mobile,Credit Card,Email Campaign,3,3.8,0.135,5,0,0,0,36-45,2,16.09,4518.67
C03132,France,41,Male,Gold,113,2026/1/5,26,10291.32,462.47,12,Toys & Games,Mobile,Credit Card,Social Media,6,4.5,0.038,1,5,0,0,36-45,4,6.9,2732.21
C01573,Canada,59,Male,Free,1630,2021/11/10,71,10290.54,159.01,83,Home & Kitchen,Tablet,Buy Now Pay Later,Social Media,18,3.8,0.042,3,3,1,0,>45,54,1.31,189.4
C03396,United States,18,Female,Free,288,2025/7/14,58,10245.49,178.47,30,Home & Kitchen,Mobile,UPI / Digital Wallet,Paid Ad,11,4.2,0.017,1,0,1,0,<25,10,6.04,1067.24
C01125,Canada,47,Male,Gold,496,2024/12/18,45,10183.08,251.87,108,Toys & Games,Desktop,UPI / Digital Wallet,Paid Ad,6,4,0.133,6,1,1,0,>45,17,2.72,615.91
C05258,Japan,33,Female,Gold,265,2025/8/6,63,10161.93,168.03,81,Health & Wellness,Mobile,Credit Card,Direct,16,4.4,0,0,5,1,0,25-35,9,7.13,1150.41
C03617,India,38,Female,Free,711,2024/5/17,77,10106.27,138.03,11,Home & Kitchen,Mobile,Credit Card,Organic Search,7,4.4,0.065,5,0,0,0,36-45,24,3.25,426.42
C01816,France,33,Female,Platinum,588,2024/9/17,68,9999.6,156.75,225,Travel & Luggage,Mobile,PayPal,Organic Search,10,3.5,0.015,1,6,0,1,25-35,20,3.47,510.18
C02209,India,36,Female,Silver,393,2025/3/31,43,9957.19,203.8,8,Toys & Games,Mobile,UPI / Digital Wallet,Organic Search,10,4.1,0.14,6,6,1,0,36-45,13,3.28,760.09
C04348,Australia,38,Female,Silver,418,2025/3/6,56,9856.99,168.1,37,Office Supplies,Desktop,Debit Card,Email Campaign,16,4.4,0.018,1,0,1,0,36-45,14,4.02,707.44
C03569,Germany,48,Male,Silver,214,2025/9/26,63,9839.12,137.96,18,Clothing & Apparel,Desktop,Cryptocurrency,Paid Ad,17,4.6,0,0,1,1,0,>45,7,8.83,1379.32
C04161,United States,18,Male,Platinum,1354,2022/8/13,73,9837.21,137.68,164,Home & Kitchen,Mobile,Credit Card,Social Media,10,4.7,0,0,0,1,0,<25,45,1.62,217.96
C06564,Canada,32,Female,Silver,440,2025/2/12,53,9817.11,196.84,90,Home & Kitchen,Mobile,PayPal,Organic Search,19,3.9,0.094,5,2,0,0,25-35,15,3.61,669.35
C02898,United States,47,Female,Free,588,2024/9/17,61,9797.09,140.63,24,Office Supplies,Tablet,UPI / Digital Wallet,Paid Ad,18,3.4,0.049,3,2,1,0,>45,20,3.11,499.85
C05674,Germany,32,Male,Free,499,2024/12/15,39,9740.72,272.06,88,Clothing & Apparel,Desktop,Debit Card,Email Campaign,4,4.1,0,0,10,0,0,25-35,17,2.34,585.61
C03350,Germany,31,Female,Platinum,214,2025/9/26,46,9704.77,190.74,0,Sports & Outdoors,Desktop,UPI / Digital Wallet,Paid Ad,3,3.4,0.043,2,8,0,0,25-35,7,6.45,1360.48
C03705,India,33,Female,Silver,712,2024/5/16,43,9672.56,198.15,71,Clothing & Apparel,Desktop,UPI / Digital Wallet,Organic Search,17,4.3,0.093,4,0,0,0,25-35,24,1.81,407.55
C05010,United States,35,Male,Free,2049,2020/9/17,76,9669.29,116.82,105,Electronics,Mobile,Buy Now Pay Later,Email Campaign,4,4.3,0.105,8,1,1,0,25-35,68,1.11,141.57
C02458,United States,27,Male,Free,671,2024/6/26,79,9648.88,110.95,44,Clothing & Apparel,Mobile,Debit Card,Paid Ad,25,4.4,0.038,3,3,1,0,25-35,22,3.53,431.4
C07143,Mexico,28,Male,Free,774,2024/3/15,45,9627.23,191.25,6,Home & Kitchen,Mobile,Credit Card,Email Campaign,7,4.6,0.067,3,5,0,0,25-35,26,1.74,373.15
C05047,Mexico,27,Female,Free,869,2023/12/11,37,9564.79,254.9,2,Beauty & Personal Care,Mobile,Credit Card,Social Media,13,4.6,0.108,4,1,1,0,25-35,29,1.28,330.2
C02401,Germany,25,Male,Platinum,128,2025/12/21,32,9546.02,349.49,56,Electronics,Desktop,Buy Now Pay Later,Organic Search,8,4.7,0.094,3,4,0,0,25-35,4,7.5,2237.35
C02060,United Kingdom,37,Male,Platinum,143,2025/12/6,36,9514.31,232.1,15,Pet Supplies,Tablet,Debit Card,Paid Ad,1,4.1,0.083,3,7,1,0,36-45,5,7.55,1996.01
C02305,United States,33,Female,Free,518,2024/11/26,44,9474.57,207.96,55,Beauty & Personal Care,Mobile,Credit Card,Email Campaign,3,3.2,0.068,3,1,1,0,25-35,17,2.55,548.72
C00073,India,28,Female,Free,595,2024/9/10,51,9464.37,189.45,134,Clothing & Apparel,Mobile,Buy Now Pay Later,Direct,15,4.1,0,0,0,1,1,25-35,20,2.57,477.2
C02356,India,39,Male,Free,978,2023/8/24,19,9439.09,436.85,19,Sports & Outdoors,Desktop,Debit Card,Email Campaign,7,4.4,0,0,1,1,0,36-45,33,0.58,289.54
C04398,South Africa,29,Male,Gold,474,2025/1/9,64,9436.41,162.86,43,Clothing & Apparel,Mobile,Debit Card,Email Campaign,20,4.4,0.094,6,1,1,0,25-35,16,4.05,597.24
C06952,India,27,Female,Platinum,38,2026/3/21,36,9367.71,246.04,5,Travel & Luggage,Mobile,Buy Now Pay Later,Social Media,5,4.2,0.111,4,7,0,1,25-35,1,28.42,7395.56
C06329,Germany,35,Male,Silver,722,2024/5/6,32,9364.13,341.47,57,Electronics,Desktop,Credit Card,Organic Search,7,4.9,0.031,1,1,1,0,25-35,24,1.33,389.09
C02150,South Korea,35,Female,Platinum,959,2023/9/12,53,9344.82,205.25,56,Travel & Luggage,Mobile,Credit Card,Paid Ad,13,4.3,0.075,4,0,0,0,25-35,32,1.66,292.33
C07051,India,35,Female,Silver,73,2026/2/14,40,9339.24,204.51,71,Home & Kitchen,Mobile,Debit Card,Social Media,9,3.8,0.125,5,5,1,0,25-35,2,16.44,3838.04
C05110,United States,31,Male,Platinum,454,2025/1/29,54,9333.8,160.63,123,Home & Kitchen,Desktop,Bank Transfer,Direct,9,3.9,0.074,4,0,0,0,25-35,15,3.57,616.77
C01063,South Africa,29,Female,Free,74,2026/2/13,48,9326.07,217.72,53,Clothing & Apparel,Mobile,UPI / Digital Wallet,Social Media,7,3.7,0.083,4,16,1,0,25-35,2,19.46,3780.84
C06570,United Kingdom,58,Female,Free,199,2025/10/11,41,9311.31,221.79,71,Pet Supplies,Tablet,UPI / Digital Wallet,Social Media,14,2.8,0.073,3,3,1,0,>45,7,6.18,1403.72
C05221,United States,21,Female,Free,1054,2023/6/9,36,9307.68,271.99,44,Health & Wellness,Desktop,Credit Card,Organic Search,6,3.5,0.111,4,0,1,0,<25,35,1.02,264.92
C05626,United States,55,Male,Free,466,2025/1/17,58,9245.29,156.51,23,Electronics,Tablet,Credit Card,Social Media,7,4.7,0,0,1,0,0,>45,16,3.73,595.19
C07346,France,57,Male,Free,80,2026/2/7,57,9171.84,160.39,100,Clothing & Apparel,Mobile,Debit Card,Social Media,11,3.4,0.053,3,4,1,0,>45,3,21.38,3439.44
C02794,Australia,18,Male,Free,939,2023/10/2,27,9148.88,344.49,48,Electronics,Desktop,Credit Card,Paid Ad,9,3.9,0.111,3,5,0,0,<25,31,0.86,292.3
C04490,United States,45,Male,Platinum,391,2025/4/2,34,9072.05,264.15,1,Clothing & Apparel,Desktop,Credit Card,Paid Ad,10,4.7,0.088,3,2,1,0,36-45,13,2.61,696.07
C02192,United Kingdom,18,Female,Gold,270,2025/8/1,28,9062.25,325.44,41,Food & Grocery,Desktop,PayPal,Social Media,7,4.8,0.036,1,0,1,0,<25,9,3.11,1006.92
C07906,India,21,Female,Free,365,2025/4/28,52,9025.2,178.74,337,Pet Supplies,Desktop,PayPal,Social Media,14,4.3,0.077,4,2,1,0,<25,12,4.27,741.8
C07063,United States,31,Female,Platinum,1029,2023/7/4,25,9023.59,346.37,40,Books,Mobile,Debit Card,Social Media,7,3.5,0.12,3,1,1,0,25-35,34,0.73,263.08
C07426,France,35,Female,Gold,580,2024/9/25,61,9020.6,129.34,7,Books,Desktop,Debit Card,Social Media,22,3.2,0.049,3,3,0,0,25-35,19,3.16,466.58
C03622,United States,26,Female,Free,444,2025/2/8,50,8985.04,166.53,46,Clothing & Apparel,Desktop,PayPal,Paid Ad,18,3.6,0.06,3,3,0,0,25-35,15,3.38,607.1
C07270,India,38,Male,Silver,310,2025/6/22,37,8976.68,238.28,2,Clothing & Apparel,Tablet,Credit Card,Paid Ad,10,4.5,0.108,4,0,1,0,36-45,10,3.58,868.71
C01041,United Kingdom,42,Female,Silver,308,2025/6/24,59,8929.33,138.33,4,Sports & Outdoors,Desktop,Debit Card,Paid Ad,20,4.6,0.051,3,6,0,0,36-45,10,5.75,869.74
C04918,India,33,Male,Platinum,407,2025/3/17,38,8878.64,273.36,88,Food & Grocery,Mobile,UPI / Digital Wallet,Social Media,8,4.5,0.079,3,0,0,0,25-35,14,2.8,654.45
C06420,United States,30,Male,Free,367,2025/4/26,55,8865.07,143.58,34,Beauty & Personal Care,Mobile,UPI / Digital Wallet,Organic Search,19,3.6,0.055,3,1,1,0,25-35,12,4.5,724.67
C00873,United States,18,Male,Platinum,252,2025/8/19,39,8839.99,240.41,36,Home & Kitchen,Mobile,Debit Card,Direct,6,4,0.051,2,2,1,0,<25,8,4.64,1052.38
C07091,Italy,43,Other,Free,514,2024/11/30,37,8828.29,243.32,30,Automotive,Desktop,Credit Card,Direct,9,4,0.081,3,7,1,0,36-45,17,2.16,515.27
C06411,United Kingdom,32,Female,Platinum,146,2025/12/3,20,8823.84,489.03,28,Clothing & Apparel,Mobile,Buy Now Pay Later,Paid Ad,4,2.7,0,0,2,0,0,25-35,5,4.11,1813.12
C00126,Brazil,34,Male,Gold,415,2025/3/9,76,8822.63,123.64,63,Books,Mobile,Debit Card,Email Campaign,13,3.8,0.066,5,2,0,0,25-35,14,5.49,637.78
C00608,France,27,Male,Gold,1092,2023/5/2,47,8759.82,213.31,45,Home & Kitchen,Desktop,Debit Card,Direct,11,4.3,0.021,1,24,1,0,25-35,36,1.29,240.65
C07691,United States,37,Other,Free,102,2026/1/16,40,8743.68,199.77,0,Home & Kitchen,Mobile,PayPal,Organic Search,13,4.4,0.125,5,5,1,0,36-45,3,11.76,2571.67
C07356,United States,23,Female,Silver,1351,2022/8/16,30,8714.03,265.06,69,Books,Desktop,Debit Card,Email Campaign,7,4.5,0,0,3,0,0,<25,45,0.67,193.5
C03360,United States,52,Female,Silver,2188,2020/5/1,16,8656.56,521.79,148,Books,Mobile,Debit Card,Direct,6,4.4,0.125,2,9,1,0,>45,73,0.22,118.69
C03720,Canada,40,Male,Gold,65,2026/2/22,16,8567.16,503.29,222,Clothing & Apparel,Mobile,Debit Card,Email Campaign,2,4.3,0.063,1,3,1,1,36-45,2,7.38,3954.07
C03011,United Kingdom,32,Female,Free,1135,2023/3/20,28,8560.32,266.17,13,Jewelry & Accessories,Desktop,Credit Card,Email Campaign,5,4.3,0,0,2,1,0,25-35,38,0.74,226.26
C07979,Netherlands,47,Female,Gold,181,2025/10/29,53,8511.54,147.74,109,Home & Kitchen,Desktop,Credit Card,Social Media,14,2.6,0.019,1,1,1,0,>45,6,8.78,1410.75
C07894,Canada,18,Male,Free,175,2025/11/4,42,8501.36,182.69,234,Home & Kitchen,Desktop,Debit Card,Organic Search,7,4.2,0.071,3,11,0,0,<25,6,7.2,1457.38
C04446,United Kingdom,32,Male,Gold,544,2024/10/31,9,8470.38,838.8,106,Food & Grocery,Mobile,Credit Card,Organic Search,0,4.7,0.111,1,1,0,0,25-35,18,0.5,467.12
C03574,United States,31,Female,Free,160,2025/11/19,40,8449.62,197.19,8,Health & Wellness,Mobile,Debit Card,Social Media,2,3.4,0.05,2,6,1,1,25-35,5,7.5,1584.3
